Row Labels,Sum of Sales,,,
Phones,330007.1,,Phones,330007.1
Chairs,328167.76,,Chairs,328167.76
Storage,223843.59,,Storage,223843.59
Tables,206965.68,,Tables,206965.68
Binders,203412.77,,Binders,203412.77
Machines,189238.68,,Machines,189238.68
Accessories,167380.31,,Accessories,167380.31
Copiers,149528.01,,Copiers,149528.01
Bookcases,114880.05,,Bookcases,114880.05
Appliances,107532.14,,Appliances,107532.14
Furnishings,91705.12,,Furnishings,91705.12
Paper,78479.24,,Paper,78479.24
Supplies,46673.52,,Supplies,46673.52
Art,27118.8,,Art,27118.8
Envelopes,16476.38,,Envelopes,16476.38
Labels,12486.3,,Labels,12486.3
Fasteners,3024.25,,Fasteners,3024.25
